phone_num,rst_name,score_p0,score_p1,score_p2,michelin_dummy,if_new,not_new,p2-p0,p1-p0
03-6804-7607,sio,3.83,3.84,3.89,1.0,0.0,1.0,0.06,0.0099999999999997
03-6804-6885,ミモザ,4.01,4.02,4.05,1.0,0.0,1.0,0.04,0.0099999999999997
03-3830-0235,洋食・ワイン フリッツ,3.66,3.67,3.67,1.0,0.0,1.0,0.0099999999999997,0.0099999999999997
03-3768-6388,まき村,4.46,4.47,4.37,1.0,0.0,1.0,-0.0899999999999998,0.0099999999999997
050-5456-0546,au deco,3.85,3.86,3.86,1.0,1.0,0.0,0.0099999999999997,0.0099999999999997
03-3874-1552,オマージュ,4.29,4.3,4.21,1.0,0.0,1.0,-0.08,0.0099999999999997
03-3356-1680,車力門 ちゃわんぶ,3.85,3.86,3.85,1.0,1.0,0.0,0.0,0.0099999999999997
03-3451-8320,日本料理 晴山,4.51,4.52,4.4,1.0,0.0,1.0,-0.1099999999999994,0.0099999999999997
050-3628-1295,薪焼 銀座おのでら,3.06,3.07,3.07,1.0,1.0,0.0,0.0099999999999997,0.0099999999999997
03-6450-3933,ボッテガ,4.0,4.01,4.03,1.0,0.0,1.0,0.0300000000000002,0.0099999999999997
03-3440-7656,鳥しき,4.61,4.62,4.47,1.0,0.0,1.0,-0.1400000000000005,0.0099999999999997
03-3251-5300,眠庵,3.75,3.76,3.76,1.0,0.0,1.0,0.0099999999999997,0.0099999999999997
03-6205-4177,シャルキュ,3.64,3.65,3.64,1.0,0.0,1.0,0.0,0.0099999999999997
03-3351-1776,タキギヤ,3.55,3.56,3.56,1.0,0.0,1.0,0.0100000000000002,0.0100000000000002
03-6455-0206,falo,3.65,3.66,3.67,1.0,0.0,1.0,0.02,0.0100000000000002
03-3841-2552,餃子の王さま,3.71,3.72,3.72,1.0,0.0,1.0,0.0100000000000002,0.0100000000000002
050-5594-5828,lintemporel,3.61,3.62,3.64,1.0,1.0,0.0,0.0300000000000002,0.0100000000000002
03-5719-7627,鳥焼 笹や,3.69,3.7,3.7,1.0,0.0,1.0,0.0100000000000002,0.0100000000000002
050-5590-0595,ル モンド グルマン,3.65,3.66,3.66,1.0,0.0,1.0,0.0100000000000002,0.0100000000000002
03-3681-9495,クチーナ シゲ,3.51,3.52,3.51,1.0,0.0,1.0,0.0,0.0100000000000002
03-3546-2622,清壽,3.82,3.83,3.83,1.0,0.0,1.0,0.0100000000000002,0.0100000000000002
03-5570-1921,鮨 一新,3.69,3.7,3.71,1.0,0.0,1.0,0.02,0.0100000000000002
03-3712-6999,鮨 尚充,4.56,4.57,4.44,1.0,0.0,1.0,-0.1199999999999992,0.0100000000000006
03-5250-8777,てんぷら 深町,4.35,4.36,4.23,1.0,0.0,1.0,-0.1199999999999992,0.0100000000000006
03-6230-9545,鮨 すが弥,4.1,4.11,4.21,1.0,1.0,0.0,0.1100000000000003,0.0100000000000006
050-5456-4971,とんかつ七井戸,3.52,3.54,3.62,1.0,0.0,1.0,0.1,0.02
050-5357-2320,熟成鮨 万,3.59,3.61,3.62,1.0,0.0,1.0,0.0300000000000002,0.02
050-5869-1375,わたべ,3.63,3.65,3.66,1.0,0.0,1.0,0.0300000000000002,0.02
050-5590-4598,Les Jardin des dodine,3.58,3.61,3.61,1.0,0.0,1.0,0.0299999999999998,0.0299999999999998
03-6280-3709,四季の食 さいとう,3.34,3.37,3.39,1.0,0.0,1.0,0.0500000000000002,0.0300000000000002
050-5594-9856,Bistro topology,3.34,3.37,3.37,1.0,0.0,1.0,0.0300000000000002,0.0300000000000002
03-6228-5973,銀座いしざき,3.34,3.37,3.34,1.0,0.0,1.0,0.0,0.0300000000000002
03-3268-5911,ル・マンジュ・トゥー,3.94,3.98,4.02,1.0,0.0,1.0,0.0799999999999996,0.04
03-6277-8274,赤坂おぎ乃,3.88,3.93,3.94,1.0,1.0,0.0,0.06,0.0500000000000002
03-3951-3588,松野寿司,3.4,3.49,3.49,1.0,0.0,1.0,0.0900000000000003,0.0900000000000003
